rank,name,handle,group,role,followers,following,connections,in_degree,out_degree,cross_follow_count,cross_follow_ratio,posts_count,comments_count,likes_count,reposts_count,association_weight,association_weight_norm,semantic_ai,pagerank,grey_relation,quanzhong_score,location,website,joinedDate,verified
40,abhishek,abhi1thakur,founder,huggingface,96867,1196,31,18,13,7,0.538462,0,0,0,0,7.510386,0.36435,0.125,0.00448325,0.422338,0.407841,localhost,https://www.linkedin.com/in/abhi1thakur/,Dec 2009,blue
41,Thomas G. Dietterich,tdietterich,researcher,Professor Emeritus at Oregon State,59657,642,45,29,16,5,0.3125,0,0,0,0,6.545211,0.317402,0.5,0.0065132,0.437013,0.40711,"Corvallis, OR",http://web.engr.oregonstate.edu/~tgd/,Aug 2012,
42,Google AI,GoogleAI,company,Google AI Division,2337542,29,21,9,12,7,0.583333,0,0,0,0,6.466139,0.313556,0.125,0.00307091,0.436983,0.406126,"Mountain View, CA",https://ai.google,Apr 2009,blue
43,NVIDIA Robotics,NVIDIARobotics,company,NVIDIA Robotics,124163,378,27,15,12,6,0.5,0,0,0,0,7.495153,0.363609,0.25,0.00327825,0.420284,0.406115,"Santa Clara, CA",https://www.nvidia.com/en-us/industries/robotics/,Nov 2009,blue
44,Peyman Milanfar,docmilanfar,founder,Google,104584,519,20,13,7,6,0.857143,0,0,0,0,4.99978,0.242228,0.375,0.0038517,0.458804,0.40466,,http://milanfar.org,Feb 2014,blue
45,Google Gemini,GeminiApp,company,AI Assistant by Google,400656,47,23,9,14,7,0.5,0,0,0,0,6.768156,0.328247,0.375,0.00369766,0.42987,0.404464,"Mountain View, CA",http://gemini.google.com,Jun 2024,blue
46,Delip Rao e/σ,deliprao,founder,Busy inventing the shipwreck,65177,5207,46,29,17,7,0.411765,0,0,0,0,7.141963,0.346429,0.0,0.00673917,0.42283,0.40373,"NYC, SF 🇺🇸🇮🇳🇹🇼🏳️‍🌈",https://deliprao.com,Oct 2008,blue
47,NVIDIA GTC,NVIDIAGTC,company,NVIDIA GTC Conference,21962,204,29,11,18,7,0.388889,0,0,0,0,8.123739,0.394185,0.125,0.00237181,0.406824,0.403665,,https://www.nvidia.com/gtc/,Sep 2020,blue
48,OpenAI,OpenAI,company,AI Research Company,4617379,4,15,12,3,2,0.666667,0,0,0,0,1.945543,0.093663,0.625,0.01964895,0.506969,0.403642,,https://openai.com,Dec 2015,blue
49,Jeff Dean,JeffDean,researcher,Chief Scientist at Google,408294,6382,51,29,22,4,0.181818,0,0,0,0,5.05571,0.244949,0.625,0.00633633,0.456001,0.403238,,https://research.google/people/jeff,Sep 2017,blue
50,François Chollet,fchollet,founder,Creator of Keras,603663,825,49,21,28,6,0.214286,0,0,0,0,6.230787,0.302108,0.125,0.00396971,0.435426,0.402096,United States,https://fchollet.com/,Aug 2009,blue
51,Andrej Karpathy,karpathy,founder,Founder at Eureka Labs,1762686,1050,60,31,29,3,0.103448,0,0,0,0,4.669443,0.22616,0.25,0.00624051,0.455449,0.398127,Stanford,https://karpathy.ai,Apr 2009,blue
52,Sam Bowman,sleepinyourhat,researcher,Professor at NYU,53601,3247,29,18,11,6,0.545455,0,0,0,0,5.950052,0.288452,0.5,0.00463309,0.434242,0.397794,San Francisco,https://sleepinyourhat.github.io/,Jul 2011,
53,Christopher Manning,chrmanning,researcher,Professor at Stanford,157655,264,41,24,17,6,0.352941,0,0,0,0,6.528432,0.316586,0.25,0.00465699,0.422605,0.3961,Palo Alto,https://nlp.stanford.edu/~manning/,Sep 2014,blue
54,Miles Brundage,Miles_Brundage,researcher,CTO & Researcher,66066,12728,38,25,13,5,0.384615,0,0,0,0,5.696806,0.276134,0.375,0.00673296,0.424227,0.387203,"San Francisco, CA",http://www.milesbrundage.com,Feb 2013,blue
55,Matthias Niessner,MattNiessner,researcher,Co-founder & Professor,44231,283,10,7,3,3,1.0,0,0,0,0,2.400549,0.115796,0.375,0.00219586,0.476471,0.386302,"Munich, Bavaria",https://niessnerlab.org/publications.html,Mar 2015,blue
56,Claude,claudeai,company,AI Assistant by Anthropic,421405,1,16,15,1,1,1.0,0,0,0,0,1.419598,0.06808,0.25,0.00810481,0.491071,0.385323,,http://claude.ai,Jul 2025,blue
57,Andrew Ng,AndrewYNg,founder,Co-founder at Google,1357621,1062,36,15,21,5,0.238095,0,0,0,0,5.4058,0.261978,0.125,0.00393982,0.421183,0.381382,"Palo Alto, CA",http://www.andrewng.org,Nov 2010,blue
58,Zachary Lipton,zacharylipton,researcher,Professor at CMU,64855,1953,39,22,17,5,0.294118,0,0,0,0,6.15326,0.298337,0.125,0.00489435,0.408081,0.380645,"San Francisco, CA",http://www.acmilab.org,Jan 2009,blue
59,NVIDIA Workstation,NVIDIAworkstatn,company,NVIDIA Workstation,36588,1146,21,8,13,5,0.384615,0,0,0,0,6.87002,0.333201,0.125,0.00196952,0.395203,0.379703,"Santa Clara, CA",https://www.nvidia.com/en-us/design-visualization/,Nov 2009,blue
60,NVIDIA ANZ,NvidiaANZ,company,NVIDIA Australia & NZ,48628,706,8,6,2,2,1.0,0,0,0,0,2.481994,0.119757,0.125,0.00283287,0.464937,0.378642,Australia and New Zealand,https://www.nvidia.com/en-au/geforce/,Sep 2015,blue
61,Thomas Wolf,Thom_Wolf,founder,Co-founder at Hugging Face,100835,6812,36,18,18,5,0.277778,0,0,0,0,6.231488,0.302142,0.0,0.00390831,0.402027,0.377056,,https://thomwolf.io,Feb 2011,blue
62,NVIDIA AI Developer,NVIDIAAIDev,company,NVIDIA AI Developer,91221,350,39,17,22,4,0.181818,0,0,0,0,5.918712,0.286928,0.125,0.00391935,0.406068,0.376283,"Santa Clara, CA",https://developer.nvidia.com/blog,Jun 2017,blue
63,NVIDIA AI PC,NVIDIA_AI_PC,company,NVIDIA AI PC,24577,22,16,7,9,6,0.666667,0,0,0,0,5.540174,0.268515,0.125,0.00275235,0.411248,0.375564,,https://www.nvidia.com/en-us/ai-on-rtx/,Nov 2024,blue
64,PyTorch,PyTorch,company,ML Framework,473330,81,36,26,10,4,0.4,0,0,0,0,4.723332,0.228781,0.25,0.00641366,0.422893,0.374365,,http://pytorch.org,Sep 2016,blue
65,TensorFlow,TensorFlow,company,ML Framework,379863,116,22,11,11,5,0.454545,0,0,0,0,4.521629,0.21897,0.5,0.00238654,0.424231,0.372916,"Mountain View, CA",http://tensorflow.org,Feb 2011,
66,Zoubin Ghahramani,ZoubinGhahrama1,researcher,VP Research at Google,33260,693,28,7,21,1,0.047619,0,0,0,0,2.603148,0.125651,0.875,0.00238892,0.453267,0.371363,"Cambridge, UK",,Aug 2020,blue
